SonarQube issues for isep-frontend (total: 290)

By rule (count):
  typescript:S6759: 110
  typescript:S6853: 63
  typescript:S7781: 24
  typescript:S3358: 17
  typescript:S7773: 16
  typescript:S3776: 8
  typescript:S7764: 7
  typescript:S6479: 6
  typescript:S7735: 5
  typescript:S4325: 5
  typescript:S1854: 4
  typescript:S3863: 4
  typescript:S1135: 2
  typescript:S6822: 2
  typescript:S7721: 2
  typescript:S4158: 2
  typescript:S6353: 1
  typescript:S6772: 1
  typescript:S2137: 1
  typescript:S6767: 1
  typescript:S6478: 1
  typescript:S4624: 1
  typescript:S1128: 1
  typescript:S2004: 1
  typescript:S7776: 1
  typescript:S7763: 1
  typescript:S2486: 1
  typescript:S2737: 1
  typescript:S6606: 1

--- All issues (severity | rule | file | line | message) ---

MINOR|typescript:S6353|src/app/account/change-password/ChangePasswordForm.tsx|22|Use concise character class syntax '\d' instead of '[0-9]'.
MINOR|typescript:S7781|src/app/account/profile/page.tsx|42|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/admin/audit/AuditLogViewer.tsx|8|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/admin/audit/AuditLogViewer.tsx|30|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/admin/audit/AuditLogViewer.tsx|34|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/admin/system/backups/BackupStatusTable.tsx|16|Mark the props of the component as read-only.
MAJOR|typescript:S3358|src/app/admin/system/backups/BackupStatusTable.tsx|52|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S6759|src/app/admin/system/config/SystemConfigTabs.tsx|26|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|56|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|60|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|68|A form label must be associated with a control.
MINOR|typescript:S7773|src/app/admin/system/config/SystemConfigTabs.tsx|69|Prefer `Number.parseInt` over `parseInt`.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|80|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|84|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|97|A form label must be associated with a control.
MINOR|typescript:S7773|src/app/admin/system/config/SystemConfigTabs.tsx|98|Prefer `Number.parseInt` over `parseInt`.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|101|A form label must be associated with a control.
MINOR|typescript:S7773|src/app/admin/system/config/SystemConfigTabs.tsx|102|Prefer `Number.parseInt` over `parseInt`.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|109|A form label must be associated with a control.
MINOR|typescript:S7773|src/app/admin/system/config/SystemConfigTabs.tsx|110|Prefer `Number.parseInt` over `parseInt`.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|113|A form label must be associated with a control.
MINOR|typescript:S7773|src/app/admin/system/config/SystemConfigTabs.tsx|114|Prefer `Number.parseInt` over `parseInt`.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|121|A form label must be associated with a control.
MINOR|typescript:S7773|src/app/admin/system/config/SystemConfigTabs.tsx|122|Prefer `Number.parseInt` over `parseInt`.
MAJOR|typescript:S6853|src/app/admin/system/config/SystemConfigTabs.tsx|125|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/admin/system/health/SystemHealthDashboard.tsx|16|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/admin/system/workflows/WorkflowConfigEditor.tsx|17|Mark the props of the component as read-only.
MAJOR|typescript:S6772|src/app/admin/system/workflows/WorkflowConfigEditor.tsx|93|Ambiguous spacing after previous element input
MINOR|typescript:S7773|src/app/admin/system/workflows/WorkflowConfigEditor.tsx|106|Prefer `Number.parseInt` over `parseInt`.
MINOR|typescript:S7773|src/app/admin/system/workflows/WorkflowConfigEditor.tsx|116|Prefer `Number.parseInt` over `parseInt`.
MINOR|typescript:S6759|src/app/admin/users/[id]/assignments/page.tsx|18|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/admin/users/[id]/edit/page.tsx|28|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/admin/users/[id]/page.tsx|27|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/admin/users/page.tsx|51|Mark the props of the component as read-only.
MAJOR|typescript:S3358|src/app/admin/users/page.tsx|62|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S7773|src/app/admin/users/page.tsx|63|Prefer `Number.parseInt` over `parseInt`.
MAJOR|typescript:S3358|src/app/admin/users/page.tsx|123|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S6759|src/app/agenda/page.tsx|43|Mark the props of the component as read-only.
INFO|typescript:S1135|src/app/api/audit/log/route.ts|34|Complete the task associated to this "TODO" comment.
MINOR|typescript:S7781|src/app/api/auth/mfa-verify/route.ts|23|Prefer `String#replaceAll()` over `String#replace()`.
INFO|typescript:S1135|src/app/api/auth/mfa-verify/route.ts|28|Complete the task associated to this "TODO" comment.
MINOR|typescript:S7773|src/app/api/documents/[id]/versions/[versionNumber]/download/route.ts|17|Prefer `Number.parseInt` over `parseInt`.
MINOR|typescript:S7773|src/app/api/documents/[id]/versions/[versionNumber]/text/route.ts|17|Prefer `Number.parseInt` over `parseInt`.
MINOR|typescript:S6759|src/app/bodies/BodyForm.tsx|16|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/bodies/[id]/BodyDetailActions.tsx|10|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/bodies/[id]/edit/page.tsx|28|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/bodies/[id]/page.tsx|17|Mark the props of the component as read-only.
MINOR|typescript:S7781|src/app/bodies/[id]/page.tsx|60|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/bodies/page.tsx|29|Mark the props of the component as read-only.
MINOR|typescript:S7781|src/app/bodies/page.tsx|114|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/calendar/page.tsx|33|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/correspondence-groups/CGForm.tsx|28|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/correspondence-groups/CGForm.tsx|106|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/correspondence-groups/CGForm.tsx|120|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/correspondence-groups/CGForm.tsx|131|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/correspondence-groups/CGForm.tsx|140|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/correspondence-groups/CGForm.tsx|154|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/correspondence-groups/CGForm.tsx|164|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/correspondence-groups/CGForm.tsx|176|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/correspondence-groups/CGForm.tsx|187|A form label must be associated with a control.
MAJOR|typescript:S3358|src/app/correspondence-groups/CGForm.tsx|199|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S6759|src/app/correspondence-groups/[id]/edit/page.tsx|43|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/correspondence-groups/[id]/members/page.tsx|21|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/correspondence-groups/[id]/page.tsx|19|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/correspondence-groups/[id]/submissions/page.tsx|22|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/correspondence-groups/new/page.tsx|35|Mark the props of the component as read-only.
CRITICAL|typescript:S3776|src/app/correspondence-groups/page.tsx|89|Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.
MINOR|typescript:S6759|src/app/correspondence-groups/page.tsx|89|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/dashboard/CODashboard.tsx|16|Mark the props of the component as read-only.
MAJOR|typescript:S6479|src/app/dashboard/CODashboard.tsx|94|Do not use Array index in keys
MINOR|typescript:S6759|src/app/dashboard/DLDashboard.tsx|16|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/dashboard/IHDashboard.tsx|18|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/dashboard/MEDashboard.tsx|20|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/dashboard/SADashboard.tsx|18|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/dashboard/VWDashboard.tsx|14|Mark the props of the component as read-only.
CRITICAL|typescript:S3776|src/app/dashboard/page.tsx|18|Refactor this function to reduce its Cognitive Complexity from 96 to the 15 allowed.
MAJOR|typescript:S1854|src/app/dashboard/page.tsx|128|Remove this useless assignment to variable "today".
MAJOR|typescript:S1854|src/app/dashboard/page.tsx|177|Remove this useless assignment to variable "today".
MINOR|typescript:S6759|src/app/documents/[id]/comments/page.tsx|33|Mark the props of the component as read-only.
MAJOR|typescript:S6822|src/app/documents/[id]/comments/page.tsx|94|The element ul has an implicit role of list. Defining this explicitly is redundant and should be avoided.
MINOR|typescript:S6759|src/app/documents/[id]/compare/CompareVersionsClient.tsx|26|Mark the props of the component as read-only.
MINOR|typescript:S7781|src/app/documents/[id]/compare/CompareVersionsClient.tsx|67|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S7781|src/app/documents/[id]/compare/CompareVersionsClient.tsx|68|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S7781|src/app/documents/[id]/compare/CompareVersionsClient.tsx|69|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S7781|src/app/documents/[id]/compare/CompareVersionsClient.tsx|70|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/documents/[id]/compare/CompareVersionsClient.tsx|73|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/documents/[id]/compare/page.tsx|33|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/documents/[id]/new-version/NewVersionUploadForm.tsx|19|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/documents/[id]/new-version/NewVersionUploadForm.tsx|85|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/documents/[id]/new-version/NewVersionUploadForm.tsx|100|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/documents/[id]/new-version/page.tsx|22|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/documents/[id]/page.tsx|39|Mark the props of the component as read-only.
CRITICAL|typescript:S3776|src/app/documents/[id]/page.tsx|39|Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.
MAJOR|typescript:S7721|src/app/documents/[id]/page.tsx|69|Move function 'formatBytes' to the outer scope.
MINOR|typescript:S7781|src/app/documents/[id]/page.tsx|91|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S7781|src/app/documents/[id]/page.tsx|91|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S7735|src/app/documents/[id]/page.tsx|100|Unexpected negated condition.
MINOR|typescript:S6759|src/app/documents/page.tsx|32|Mark the props of the component as read-only.
MINOR|typescript:S7781|src/app/documents/page.tsx|113|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S7781|src/app/documents/page.tsx|114|Prefer `String#replaceAll()` over `String#replace()`.
MAJOR|typescript:S2137|src/app/error.tsx|5|Do not use "Error" to declare a function - use another name.
MINOR|typescript:S6759|src/app/error.tsx|5|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/global-error.tsx|3|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/layout.tsx|11|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/login/complete/LoginCompleteRedirect.tsx|17|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/login/complete/page.tsx|16|Mark the props of the component as read-only.
MINOR|typescript:S7781|src/app/login/mfa/page.tsx|89|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/meetings/MeetingForm.tsx|11|Mark the props of the component as read-only.
MINOR|typescript:S7781|src/app/meetings/[id]/AgendaTab.tsx|7|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/meetings/[id]/AgendaTab.tsx|34|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/CorrespondenceTab.tsx|16|Mark the props of the component as read-only.
